User,Chunk Size (tokens),Chunk Overlap Size (token overlap),Embedding Models,Vector Database,Memory Usage 1 (MB),Memory Usage 2 (MB),Memory Usage 3 (MB),Retrieval Quality (Query 1) (sec),Retrieval Quality (Query 2) (sec),Retrieval Quality (Query 3) (sec),Additional Notes 1,Additional Notes 2,Additional Notes 3,
,200,0,sentence-transformers/all-MiniLM-L6-v2,Redis,980,981,983,7.1204,5.9105,9.2483,Really good,Really good,Really good (not as descriptive),
,200,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,652,650,4.59,8.48,14.59,Good,Okay,Good,
,200,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,4.76,6.31,13.68,Good,Good,Good,
,200,50,sentence-transformers/all-MiniLM-L6-v2,Redis,976,978,980,7.3646,13.3628,11.1321,Really good,Really good (could have used less lines),Really good (needs more clarification),
,200,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,652,650,659,5.93,7.85,12.49,Good,Okay,Good,
,200,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.6,5.48,14.3,Good,Really good (good alternative options),,Really good
,200,100,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,6.9393,6.935,7.9246,Really good,Really good (good alternative options),Really good (not as descriptive),
,200,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,659,650,4.58,6.89,10.53,Good,Okay,Really good,
,200,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,4.16,7.74,9.45,Good,Really good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,3.6614,8.1586,9.4013,Okay (not descriptive),Really good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,651,4.35,5.94,14.2,Really good,Good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,6.74,8.67,19.58,Really good,Good,Really good,
,500,50,sentence-transformers/all-MiniLM-L6-v2,Redis,983,982,983,4.8141,6.1764,9.9079,Really good,Really good,Okay (really clumpy),
,500,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,651,5.32,7.98,13.98,Good,Okay,Okay,
,500,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.26,8.2,14.78,Good,Good,Good,
,500,100,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,6.1595,6.9755,12.5164,Really good,Okay (not descriptive),Really good,
,500,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,655,650,2.53,6.98,15.43,Good,Good,Okay (not descriptive),
,500,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,2.57,6.34,13.47,Good,Really good,Good,
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,979,5.1594,7.6212,6.766,Really good,Okay (not descriptive),Okay (not descriptive),
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,656,3.24,4.53,15.73,Good,Not good,Okay,
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,2.54,3.7,11.58,Good,Good,Good,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Redis,979,981,981,7.5686,7.8621,10.2193,Really good,Not good,Really good,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,653,650,650,4.89,11.1,14.32,Good,Okay,Okay,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.73,6.62,13.43,Good,Really good,Really good,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Redis,982,982,982,6.9521,6.7464,12.1213,Really good,Really good,Really good,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,641,650,650,5.43,6.32,13.942,Good,Good,Okay,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.43,5.69,10.05,Good,Okay ,Good,
,200,0,sentence-transformers/all-mpnet-base-v2,Redis,987,994,994,3.2159,7.4208,10.4907,Okay (not descriptive),Okay (really clumpy),Okay,
,200,0,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,4.221,14.23,15.98,Good,Really good,Okay,
,200,0,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,4.12,6.94,8.07,Good,Good,Good,
,200,50,sentence-transformers/all-mpnet-base-v2,Redis,993,994,996,2.8777,4.7878,3.929,Okay (not descriptive),Really good,Bad (IDK),
,200,50,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,2.354,9.32,12.49,Not good,Okay,Good,
,200,50,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.68,6.74,3.73,Good,Good,Not good (some info),
,200,100,sentence-transformers/all-mpnet-base-v2,Redis,996,993,995,3.5838,9.336,5.3899,Okay,Okay,Not good (some info),
,200,100,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,3.23,4.21,14.24,Not good,Good,Okay,
,200,100,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.28,6.1,3.95,Good,Good,Not good (some info),
,500,0,sentence-transformers/all-mpnet-base-v2,Redis,995,996,996,5.1752,6.6248,3.5529,Okay (not descriptive),Really good,Not good (some info),
,500,0,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,5.32,8.321,13.4242,Really good,Good,Really good,
,500,0,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,4.08,4.96,13.33,Good,Good,Good,
,500,50,sentence-transformers/all-mpnet-base-v2,Redis,996,996,998,2.0596,7.9556,12.3556,Not good,Okay,Really good,
,500,50,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,4.24,7.42,12.13,Good,Good,Okay,
,500,50,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,6.67,7.07,11.64,Good,Really good,Good,
,500,100,sentence-transformers/all-mpnet-base-v2,Redis,998,995,997,4.0242,5.1274,14.3239,Okay (not descriptive),Okay,Really good,
,500,100,sentence-transformers/all-mpnet-base-v2,Chroma,658,650,650,5.234,8.321,13.4,Okay,Good,Okay,
,500,100,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.44,6.04,15.87,Good,Good,Really good,
,1000,0,sentence-transformers/all-mpnet-base-v2,Redis,997,997,998,2.3632,6.1531,10.4238,Okay (not descriptive),Okay (not descriptive),Not good (wrong tree),
,1000,0,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,3.4553,5.928,14.32,Not good,Okay,Good,
,1000,0,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.34,5.93,12.36,Good,Good,Not good,
,1000,50,sentence-transformers/all-mpnet-base-v2,Redis,999,999,997,2.2199,8.5282,13.6552,Okay (not descriptive),Really good,Really good,
,1000,50,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,4.213,5.882,15.391,Not good,Really good,Not good,
,1000,50,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.26,11.52,11.52,Good,Good,Good,
,1000,100,sentence-transformers/all-mpnet-base-v2,Redis,997,997,999,2.8562,5.8797,13.492,Okay (not descriptive),Okay,Okay,
,1000,100,sentence-transformers/all-mpnet-base-v2,Chroma,650,650,650,4.98,7.482,13.972,Good,Really good,Really good,
,1000,100,sentence-transformers/all-mpnet-base-v2,Qdrant,150,150,150,3.57,6.87,11.58,Good,Good,Really good,
,200,0,mxbai-embed-large,Redis,977,978,981,10.7913,4.43,9.5215,Really good,Really good,Really good,
,200,0,mxbai-embed-large,Chroma,650,650,650,4.573,5.392,18.2984,Okay,Good,Not good,
,200,0,mxbai-embed-large,Qdrant,150,150,150,5.01,10.75,11.83,Good,Good,Really good,
,200,50,mxbai-embed-large,Redis,981,982,984,6.6826,3.806,12.1233,Really good,Really good,Really good,
,200,50,mxbai-embed-large,Chroma,650,650,650,4.598,4.872,19.9848,Okay,Okay,Not good,
,200,50,mxbai-embed-large,Qdrant,150,150,150,4.98,5.89,13.83,Good,Really good,Good,
,200,100,mxbai-embed-large,Redis,982,982,982,6.7652,5.1856,10.0685,Really good,Good,Really good,
,200,100,mxbai-embed-large,Chroma,650,650,650,4.53,4.9877,4.5992,Good,Good,Not good,
,200,100,mxbai-embed-large,Qdrant,980,980,980,5.99,6.72,18.22,Good,Really good,Really good,
,500,0,mxbai-embed-large,Redis,982,982,982,7.6241,2.9931,9.1205,Really good,Good,Really good,
,500,0,mxbai-embed-large,Chroma,650,650,650,4.9282,4.8271,4.302,Good,Not good,Not good,
,500,0,mxbai-embed-large,Qdrant,150,150,150,5.95,12.94,14.4,Really good,Really good,Really good,
,500,50,mxbai-embed-large,Redis,982,982,982,6.1574,5.7892,9.7624,Really good,Good,Really good,
,500,50,mxbai-embed-large,Chroma,650,650,650,4.872,4.8273,11.194,Okay,Okay,Okay,
,500,50,mxbai-embed-large,Qdrant,150,150,150,6.03,5.97,16.92,Really good,Really good,Good,
,500,100,mxbai-embed-large,Redis,982,984,984,4.1261,3.3609,9.8613,Really good,Good,Really good,
,500,100,mxbai-embed-large,Chroma,650,650,650,4.852,5.9721,15.32,Good,Good,Okay,
,500,100,mxbai-embed-large,Qdrant,150,150,150,5.34,5.92,5.82,Really good,Okay,Okay,
,1000,0,mxbai-embed-large,Redis,982,984,985,5.3177,7.5116,8.6401,Really good,Okay,Good,
,1000,0,mxbai-embed-large,Chroma,650,650,650,4.132,8.281,17.99,Not good,Not good,Not good,
,1000,0,mxbai-embed-large,Qdrant,150,150,150,5.87,5.92,15.87,Really good,Good,Good,
,1000,50,mxbai-embed-large,Redis,982,982,982,4.6109,6.3021,8.9438,Really good,Really good,Okay,
,1000,50,mxbai-embed-large,Chroma,650,650,650,5.91,5.3882,15.32,Good,Good,Really good,
,1000,50,mxbai-embed-large,Qdrant,150,150,150,5.74,8.74,16.99,Really good,Good,Good,
,1000,100,mxbai-embed-large,Redis,982,982,982,4.6538,6.0768,9.5405,Really good,Really good,Really good,
,1000,100,mxbai-embed-large,Chroma,650,650,650,5.9482,8.422,9.32,Good,Not good,Not good,
,1000,100,mxbai-embed-large,Qdrant,150,150,150,5.22,5.88,14.85,Really good,Good,Good,